1447027200,1.0,1.078,0.89,0.998,2875.46097096,83
1447113600,1.0,1.0,0.9,0.9,6648.80404519,30
1447200000,0.94,0.94,0.73,0.75,2589.81719672,42
1447286400,0.89,0.9,0.80104,0.88,313.22209662,22
1447372800,0.88,0.9,0.83953,0.9,564.5609182,13
1447459200,0.91,0.91,0.87356,0.88,94.90544037,6
1447545600,0.87459,0.91926,0.87459,0.91926,616.07219339,9
1447632000,0.92,0.925,0.6612,0.925,2709.00094774,44
1447718400,0.92244,1.0,0.9224,1.0,6762.89035975,97
1447804800,0.98,0.99727,0.95,0.99727,1620.68424768,46
1447891200,0.99999,0.99999,0.92,0.94,910.23419,12
1447977600,0.92851,0.92851,0.91,0.92,135.73566038,7
1448064000,0.93,0.96,0.92,0.96,132.6146202,16
1448150400,0.8827,0.97,0.8827,0.97,6.8,9
1448236800,0.92,0.92,0.92,0.92,3.2,3
1448323200,0.94,0.95,0.91,0.91002,4.2,5
1448409600,0.88001,0.91265,0.86736,0.87,1127.5477,18
1448496000,0.89,0.90998,0.81547,0.86,3885.02726398,57
1448582400,0.89,0.89,0.88,0.88,634.1659,7
1448668800,0.89,0.91,0.89,0.91,95.2,6
1448755200,0.89523,0.89523,0.85,0.87,770.15645554,22
1448841600,0.86743,0.88,0.86743,0.88,52.3930614,6
1448928000,0.86512,0.88846,0.84232,0.87,221.45876354,12
1449014400,0.86,0.865,0.8,0.82,3512.85012183,29
1449100800,0.81117,0.83,0.79792,0.83,634.90343132,23
1449187200,0.82458,0.84,0.82458,0.84,139.64150588,8
1449273600,0.85,0.86993,0.83506,0.86993,296.71861671,10
1449360000,0.87,0.87,0.82499,0.82499,113.2,3
1449446400,0.82224,0.8224,0.7829,0.79,282.0822,6
1449532800,0.79,0.898,0.77963,0.79461,5895.88469212,43
1449619200,0.79461,0.85333,0.761,0.80511,8125.65433652,105
1449705600,0.77973,0.86826,0.77973,0.84374,4871.63185339,56
1449792000,0.84348,0.9,0.77,0.8998,2783.98187049,38
1449878400,0.9,0.96,0.9,0.96,2071.34862277,49
1449964800,0.88355,0.97491,0.88355,0.91993,987.99,21
1450051200,0.96279,0.99,0.96279,0.99,4292.43565996,47
1450137600,0.98,1.0,0.96,1.0,6764.82208902,85
1450224000,0.98315,1.0998,0.8,0.803,4405.42220436,66
1450310400,0.97,0.9701,0.9371,0.94,157.66894292,10
1450396800,0.9,0.9,0.9,0.9,5.07,1
1450483200,0.91928,0.91928,0.89348,0.89348,61.78970838,6
1450569600,0.9,1.065,0.9,1.065,1281.96129625,22
1450656000,0.9647,1.065,0.91,0.91,1887.91619251,27
1450742400,0.91,0.99989,0.88,0.88,3928.98435241,56
1450828800,0.87884,0.9897,0.87,0.87093,395.23573239,14
